chain,id,network_names,clients
0g,og,mainnet,"chain, geth"
Agoric,agoric,mainnet,tendermint
Akash,akash,mainnet,tendermint
Akash Network,akash,mainnet,-
Allora,allora,mainnet,tendermint
Althea,althea,mainnet,tendermint
Andromeda,andromeda,mainnet,tendermint
Aptos,aptos,mainnet,-
Arbitrum,arbitrum,"mainnet, nova, sepolia",-
Archway,archway,mainnet,tendermint
Arkeo,arkeo,mainnet,tendermint
Asset Mantle,assetmantle,mainnet,tendermint
AtomOne,atomone,mainnet,-
Aura,aura,mainnet,tendermint
Avail,avail,"mainnet, turing",-
Avalanche,avalanche,"fuji, mainnet",-
Axelar,axelar,mainnet,-
Axelar,axelar,mainnet,tendermint
Babylon,babylon,mainnet,-
Babylon,babylon,mainnet,tendermint
Band,band,mainnet,tendermint
Base,base,"mainnet, sepolia",reth
Berachain,berachain,mainnet,"beacon, reth"
BitBadges,bitbadges,mainnet,tendermint
Bitcoin,bitcoin,"mainnet, testnet",-
Bitcoin SV,bsv,mainnet,-
Bitsong,bitsong,mainnet,tendermint
Bitway,bitway,mainnet,-
Bitway,bitway,mainnet,tendermint
Blast,blast,mainnet,geth
BNB Smart Chain,bsc,"mainnet, testnet",geth
Canto,canto,mainnet,tendermint
Carbon,carbon,mainnet,tendermint
Cardano,cardano,mainnet,-
Celer Network,celer,mainnet,-
Celestia,celestia,"mainnet, testnet",-
Celestia,celestia,mainnet,tendermint
Celo,celo,mainnet,geth
Chain4Energy,chain4energy,mainnet,tendermint
Cheqd,cheqd,mainnet,-
Cheqd,cheqd,mainnet,tendermint
Chihuahua,chihuahua,mainnet,tendermint
Chiliz,chiliz,"mainnet, spicy",-
Coreum,coreum,mainnet,tendermint
Cosmos,cosmos,mainnet,-
CosmosHub,cosmos,mainnet,tendermint
Crescent,crescent,mainnet,tendermint
Cronos,cronos,mainnet,-
Cronos,cronos,mainnet,tendermint
Cronos PoS Chain,cronos-pos,mainnet,-
Crypto.org,cryptocom,mainnet,tendermint
Dash,dash,"mainnet, testnet",-
Decentr,decentr,mainnet,tendermint
DeFiChain,defi,mainnet,-
dHealth,dhealth,mainnet,tendermint
Dora,dora,mainnet,tendermint
Dora Factory,dora,mainnet,-
dYdX,dydx,mainnet,-
dYdX,dydx,mainnet,tendermint
Dymension,dymension,mainnet,tendermint
Elys Network,elys,"mainnet, testnet",-
Empower,empower,mainnet,tendermint
Energi,energi,mainnet,-
Ethereum,ethereum,"mainnet, sepolia, hoodi, holesky, perf-devnet-2, perf-devnet-3","besu, erigon, geth, nethermind, reth"
Fetch,fetch,mainnet,tendermint
